MacBook-Pro-de-Josep:fso_pract3 Josep$ ps aux
USER              PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
Josep             370   0,0  0,0  2494080   1440   ??  Ss   15sep15   0:00.23 /System/Library/Frameworks/AddressBook.framework/Ve
Josep             369   0,0  0,0  2534092   3264   ??  S    15sep15   0:02.50 /System/Library/CoreServices/AirPlayUIAgent.app/Con
Josep             367   0,0  0,0  2497652   2436   ??  S    15sep15   0:00.71 /System/Library/Frameworks/InputMethodKit.framework
root              360   0,0  0,0  2470448    844   ??  Ss   15sep15   0:01.95 /Library/CoreMediaIO/Plug-Ins/DAL/AppleCamera.plugi
Josep             357   0,0  0,1  2499756   5128   ??  Ss   15sep15   0:00.65 /System/Library/PrivateFrameworks/CloudDocsDaemon.f
Josep             348   0,0  0,1  2708900   4652   ??  S    15sep15   0:08.63 /System/Library/Services/AppleSpell.service/Content
Josep             347   0,0  0,0  2498544   2696   ??  S    15sep15   0:01.23 /System/Library/CoreServices/pbs
Josep             342   0,0  0,0  2507116   4140   ??  S    15sep15   0:08.87 /System/Library/PrivateFrameworks/ParsecUI.framewor
Josep             341   0,0  0,1  2497516   8040   ??  Ss   15sep15   0:07.09 /System/Library/PrivateFrameworks/WeatherKit.framew
Josep             340   0,0  0,0  2470964   1360   ??  Ss   15sep15   0:00.22 /System/Library/CoreServices/NotificationCenter.app
Josep             339   0,0  0,1  2495260   4576   ??  S    15sep15   0:05.45 /System/Library/PrivateFrameworks/CloudServices.fra
Josep             338   0,0  0,0  2492700   1592   ??  Ss   15sep15   0:00.31 /Applications/DiskWarrior.app/Contents/Helpers/Disk
Josep             336   0,0  0,0  2471100   1524   ??  S    15sep15   0:01.41 /System/Library/Frameworks/Security.framework/Versi
root              332   0,0  0,0  2469416    468   ??  Ss   15sep15   0:05.29 /usr/libexec/watchdogd
Josep             331   0,0  0,0  2493148   2496   ??  Ss   15sep15   0:04.74 /System/Library/CoreServices/Menu Extras/AirPort.me
root              327   0,0  0,0  2472572    832   ??  Ss   15sep15   0:00.95 /System/Library/PrivateFrameworks/PerformanceAnalys
Josep             326   0,0  0,2  2628492  12592   ??  S    15sep15   0:24.64 /System/Library/CoreServices/Spotlight.app/Contents
Josep             323   0,0  0,1  2500488   4416   ??  S    15sep15   0:06.46 /System/Library/CoreServices/diagnostics_agent
Josep             322   0,0  0,1  2533336   7092   ??  S    15sep15   0:20.55 /System/Library/CoreServices/WiFiAgent.app/Contents
Josep             319   0,0  0,0  2492936   2644   ??  S    15sep15   0:03.92 /System/Library/CoreServices/cloudpaird
Josep             314   0,0  0,0  2496816   2700   ??  S    15sep15   0:05.77 /System/Library/CoreServices/AppleIDAuthAgent
Josep             309   0,0  0,0  2541080   3588   ??  S    15sep15   0:00.84 /System/Library/CoreServices/Keychain Circle Notifi
Josep             306   0,0  0,0  2496028   1092   ??  S    15sep15   0:00.24 /usr/libexec/spindump_agent
Josep             305   0,0  0,2  2517580  19196   ??  U    15sep15   1:29.30 /System/Library/PrivateFrameworks/CloudKitDaemon.fr
root              302   0,0  0,0  2470480   1040   ??  Ss   15sep15   0:02.66 /System/Library/PrivateFrameworks/CoreSymbolication
Josep             301   0,0  0,1  2519652   7152   ??  S    15sep15   0:17.21 /System/Library/PrivateFrameworks/CommerceKit.frame
root              299   0,0  0,2  2520504  16672   ??  Ss   15sep15   0:05.40 /usr/libexec/sandboxd -n PluginProcess -n 
root              297   0,0  0,0  2492768   1612   ??  Ss   15sep15   0:01.29 /System/Library/CoreServices/CrashReporterSupportHe
Josep             296   0,0  0,2  2489976  14776   ??  S    15sep15   1:59.36 /usr/libexec/nsurlstoraged
Josep             295   0,0  0,0  2501612   1568   ??  S    15sep15   0:00.20 /System/Library/PrivateFrameworks/CallHistory.frame
root              294   0,0  0,0  2497324   3884   ??  Ss   15sep15   0:04.57 /usr/libexec/amfid
Josep             293   0,0  0,1  2529368   9092   ??  S    15sep15   0:14.50 /System/Library/PrivateFrameworks/MessagesKit.frame
Josep             292   0,0  0,0  2493728   1520   ??  S    15sep15   0:00.28 /System/Library/PrivateFrameworks/IMDPersistence.fr
Josep             291   0,0  0,1  2516252  10276   ??  S    15sep15   0:16.40 /System/Library/PrivateFrameworks/TelephonyUtilitie
Josep             290   0,0  0,1  2498444   5800   ??  S    15sep15   0:08.72 /System/Library/PrivateFrameworks/IMCore.framework/
Josep             289   0,0  0,1  2550128   7584   ??  Ss   15sep15   0:04.41 /System/Library/CoreServices/Dock.app/Contents/XPCS
root              288   0,0  0,0  2479456   2036   ??  Ss   15sep15   0:03.64 /usr/sbin/filecoordinationd
Josep             287   0,0  0,0  2495236   2516   ??  S    15sep15   0:10.57 /System/Library/CoreServices/lsuseractivityd
Josep             284   0,0  0,0  2494748   2632   ??  S    15sep15   0:06.62 /usr/libexec/fmfd
Josep             282   0,0  0,0  2492964   1020   ??  S    15sep15   0:00.34 /System/Library/PrivateFrameworks/AskPermission.fra
Josep             281   0,0  0,1  2494184   5016   ??  S    15sep15   0:07.89 /System/Library/CoreServices/mapspushd
Josep             280   0,0  0,0  2501632   2880   ??  S    15sep15   0:00.71 /System/Library/PrivateFrameworks/CallHistory.frame
Josep             279   0,0  0,0  2493304   1296   ??  S    15sep15   1:47.06 /usr/libexec/SafariCloudHistoryPushAgent
Josep             278   0,0  0,1  2655268   4416   ??  S    15sep15   0:04.44 /System/Library/CoreServices/iconservicesagent
Josep             276   0,0  0,2  2516652  14132   ??  Ss   15sep15   1:35.15 /System/Library/PrivateFrameworks/CalendarAgent.fra
Josep             275   0,0  0,1  2564468   9824   ??  S    15sep15   0:17.15 /System/Library/PrivateFrameworks/InternetAccounts.
Josep             273   0,0  0,1  2509320   8164   ??  S    15sep15   6:47.16 /System/Library/Frameworks/Accounts.framework/Versi
Josep             271   0,0  0,0  2494624   4124   ??  S    15sep15   0:05.47 /usr/libexec/secinitd
Josep             270   0,0  0,1  2530300   4220   ??  S    15sep15   0:49.58 /System/Library/Frameworks/ApplicationServices.fram
root            17043   0,0  0,0  2443192    848 s000  R+    4:06PM   0:00.01 ps aux
Josep             268   0,0  0,0  2494956   2092   ??  S    15sep15   0:00.77 /System/Library/CoreServices/SocialPushAgent.app/Co
Josep             264   0,0  0,1  2498280   6244   ??  S    15sep15   0:08.91 /usr/libexec/nsurlsessiond
Josep             263   0,0  0,0  2501664   1376   ??  S    15sep15   0:00.53 /System/Library/CoreServices/RemoteManagement/ARDAg
Josep             262   0,0  0,1  2497788   5356   ??  S    15sep15   0:16.11 /usr/sbin/usernoted
Josep             260   0,0  0,0  2497504   2884   ??  S    15sep15   0:31.56 /usr/libexec/secd
Josep             259   0,0  0,1  2508804   8476   ??  S    15sep15   0:12.10 /System/Library/PrivateFrameworks/IDS.framework/ide
Josep             257   0,0  0,1  2502064   5976   ??  S    15sep15   0:02.16 /System/Library/PrivateFrameworks/CloudDocsDaemon.f
Josep             256   0,0  0,1  2500660   5036   ??  S    15sep15   0:35.10 /System/Library/PrivateFrameworks/TCC.framework/Res
Josep             255   0,0  0,1  2499484   4512   ??  S    15sep15   0:05.32 /usr/libexec/pkd
Josep             254   0,0  0,1  2512964   7804   ??  S    15sep15   0:13.95 /usr/libexec/sharingd
root              252   0,0  0,0  2472368   1652   ??  Ss   15sep15   0:02.05 /System/Library/CoreServices/backupd.bundle/Content
root              251   0,0  0,0  2471884   1640   ??  Ss   15sep15   0:04.98 /System/Library/PrivateFrameworks/CacheDelete.frame
_coreaudiod       250   0,0  0,0  2493152    380   ??  Ss   15sep15   0:00.05 /System/Library/Frameworks/CoreAudio.framework/Vers
root              245   0,0  0,0  2500512    944   ??  Ss   15sep15   0:00.23 /System/Library/PrivateFrameworks/TCC.framework/Res
Josep             244   0,0  0,0  2468604    188   ??  S    15sep15   0:00.03 /usr/sbin/pboard
Josep             243   0,0  1,4  3112760 116804   ??  S    15sep15   8:14.29 /System/Library/CoreServices/Finder.app/Contents/Ma
Josep             242   0,0  0,2  2590144  16604   ??  U    15sep15   1:03.62 /System/Library/CoreServices/SystemUIServer.app/Con
Josep             238   0,0  0,4  2512976  29968   ??  U    15sep15   1:06.62 /usr/sbin/cfprefsd agent
Josep             236   0,0  0,1  2485412   6276   ??  S    15sep15   1:35.39 /usr/sbin/distnoted agent
root              233   0,0  0,0  2493372    996   ??  Ss   15sep15   0:11.47 /usr/libexec/securityd_service
root              231   0,0  0,0  2469560   1056   ??  Ss   15sep15   0:00.13 /System/Library/PrivateFrameworks/AccountPolicy.fra
root              225   0,0  0,0  2471788   1024   ??  Us   15sep15   0:01.58 /System/Library/Frameworks/Security.framework/Versi
root              215   0,0  0,0  2469660    968   ??  Ss   15sep15   0:00.36 /System/Library/PrivateFrameworks/AmbientDisplay.fr
root              213   0,0  0,0  2528844    932   ??  Ss   15sep15   0:02.61 /System/Library/Frameworks/OpenGL.framework/Version
_nsurlstoraged    211   0,0  0,0  2469324   1968   ??  Ss   15sep15   0:01.21 /usr/libexec/nsurlstoraged
_www              210   0,0  0,0  2482524   1240   ??  S    15sep15   0:00.44 /usr/sbin/httpd -D FOREGROUND
root              207   0,0  0,9  4376632  78516   ??  Ss   15sep15   3:36.65 /System/Library/Frameworks/CoreServices.framework/F
root              193   0,0  0,0  2496136   2072   ??  Ss   15sep15   0:01.49 /usr/sbin/diskmanagementd
root              186   0,0  0,0  2471900   2204   ??  Ss   15sep15   0:34.59 sysmond
root              178   0,0  0,3  2589100  22560   ??  Ss   15sep15  16:08.69 /usr/libexec/ApplicationFirewall/socketfilterfw
root              177   0,0  0,0  2468936    892   ??  Ss   15sep15   0:00.65 /usr/libexec/corestoraged
root              176   0,0  0,0  2469072    672   ??  Ss   15sep15   0:00.11 /System/Library/CryptoTokenKit/com.apple.ifdreader.
root              174   0,0  0,0  2472336    364   ??  Ss   15sep15   0:00.03 /usr/libexec/nehelper
root              173   0,0  0,0  2492900   1632   ??  Ss   15sep15   0:03.48 /usr/libexec/usbd
root              172   0,0  0,0  2471156    980   ??  Ss   15sep15   0:21.11 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n
_nsurlsessiond    171   0,0  0,0  2469304   1024   ??  Ss   15sep15   0:00.36 /usr/libexec/nsurlsessiond --privileged
root              170   0,0  0,0  2469748    520   ??  Ss   15sep15   0:00.79 /usr/libexec/networkd_privileged
root              169   0,0  0,1  2496644   4392   ??  Ss   15sep15   0:07.68 /usr/libexec/findmydeviced
root              151   0,0  0,0  2493372   1100   ??  Ss   15sep15   0:00.17 /usr/libexec/secinitd
root              147   0,0  0,0  2469604    680   ??  Ss   15sep15   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework
root              146   0,0  0,0  2471660    720   ??  Ss   15sep15   0:00.11 /System/Library/Frameworks/PCSC.framework/Versions/
root              130   0,0  0,0  2497808   3448   ??  Us   15sep15   0:02.10 /System/Library/Frameworks/Security.framework/Versi
root              126   0,0  0,0  2513900   3000   ??  Ss   15sep15   0:24.99 /usr/sbin/cfprefsd daemon
root              125   0,0  0,0  2495416   1176   ??  Ss   15sep15   0:00.36 /usr/libexec/diagnosticd
root              123   0,0  0,2  2554116  18368   ??  Ss   15sep15   0:20.55 /System/Library/CoreServices/coreservicesd
_distnote         108   0,0  0,0  2470788   2028   ??  Ss   15sep15   0:17.06 /usr/sbin/distnoted daemon
root              100   0,0  0,0  2494448   3568   ??  Ss   15sep15   0:14.22 /usr/libexec/taskgated -s
root               99   0,0  0,0  2471856   1776   ??  Ss   15sep15   0:49.93 /usr/sbin/notifyd
root               97   0,0  0,0  2479800   3044   ??  Ss   15sep15  20:03.88 /usr/libexec/hidd
root               95   0,0  0,0  2461048    396   ??  Ss   15sep15   0:00.03 /usr/sbin/KernelEventAgent
root               94   0,0  0,0  2468924    920   ??  Ss   15sep15   0:00.10 /System/Library/CoreServices/logind
Josep              93   0,0  0,1  2577516   7552   ??  Ss   15sep15   0:33.61 /System/Library/CoreServices/loginwindow.app/Conten
root               92   0,0  0,0  2525492   2328   ??  Ss   15sep15   0:34.00 /System/Library/PrivateFrameworks/GenerationalStora
root               91   0,0  0,0  2469260    716   ??  Ss   15sep15   0:00.09 /usr/libexec/stackshot -t -O
_mdnsresponder     89   0,0  0,0  2496144   4148   ??  Ss   15sep15   0:58.84 /usr/sbin/mDNSResponder
